num_id|name_landmark|machine_guess|machine_guess_name|score|test_image_url|wiki_url|wiki_summary
0|Robert S. Abbott House|26|John J. Glessner House|0.23966222|https://upload.wikimedia.org/wikipedia/commons/2/2a/Robert_S._Abbott_House%2C_4742_Martin_Luther_King_Drive%2C_Chicago_Cook_County%2C_Illinois.jpg|https://en.wikipedia.org/wiki/Robert_S._Abbott_House|The Robert S. Abbott House is a historic house at 4742 South Martin Luther King Jr. Drive in the Grand Boulevard community area of Chicago, Illinois. Built about 1900, it was home from 1926 until his death of Robert S. Abbott (1870-1940), founder and publisher of the Chicago Defender, the largest-circulation African-American newspaper in the nation. Abbott became one of the few self-made black millionaires in the early 20th century. His home was designated a National Historic Landmark status in 1976.		
1|Adler Planetarium|1|Adler Planetarium|0.893575|http://www.destination360.com/north-america/us/illinois/chicago/images/s/adler-planetarium-chicago.jpg|https://en.wikipedia.org/wiki/Adler_Planetarium|The Adler Planetarium is a public museum dedicated to the study of astronomy and astrophysics. It was founded in 1930 by Chicago business leader Max Adler. It is located on the northeast tip of Northerly Island at the shore of Lake Michigan in Chicago, Illinois. The Adler is America's first planetarium and part of Chicago's Museum Campus, which includes the John G. Shedd Aquarium and The Field Museum. The Adler's mission is to inspire exploration and understanding of the universe.	The Adler Planetarium opened to the public on May 10, 1930. For its design, architect Ernest A. Grunsfeld, Jr. was awarded the gold medal of the Chicago chapter of the American Institute of Architects in 1931. It was declared a National Historic Landmark in 1987.	The Adler is home to three full size theaters, extensive space science exhibitions, and a significant collection of antique scientific instruments and print materials. In addition, the Adler boasts the Doane Observatory, one of the only research-active, public urban observatories. This lakeside observatory is the only place in Chicago where the public can see planets, stars, and galaxies up-close and in person.
2|Auditorium Building|2|Auditorium Building|0.72664905|http://photos.wikimapia.org/p/00/02/24/35/15_full.jpeg|https://en.wikipedia.org/wiki/Auditorium_Building_(Chicago)|The Auditorium Building in Chicago is one of the best-known designs of Louis Sullivan and Dankmar Adler. Completed in 1889, the building is located at the northwest corner of South Michigan Avenue and Congress Street (now Congress Parkway). The building, which when constructed was the largest in the United States and the tallest in Chicago, was designed to be a multi-use complex, including offices, a theater and a hotel. As a young apprentice, Frank Lloyd Wright worked on some of the interior design.	The Auditorium Theatre is part of the Auditorium Building and is located at 50 East Congress Parkway. The theater was the first home of the Chicago Civic Opera and the Chicago Symphony Orchestra. It currently hosts the season performances of the Joffrey Ballet.	The building was added to the National Register of Historic Places on April 17, 1970. It was declared a National Historic Landmark in 1975, and was designated a Chicago Landmark on September 15, 1976. In addition, it is a historic district contributing property for the Chicago Landmark Historic Michigan Boulevard District. Since 1947, the Auditorium Building has been part of Roosevelt University.
3|Bishop Hill Colony|60|Principia College Historic District|0.09976269|http://i.pinimg.com/736x/69/89/10/6989101e80199a09523806c8302075dc.jpg|https://en.wikipedia.org/wiki/Bishop_Hill_Colony|Bishop Hill Colony is a historic district in Bishop Hill, Illinois. Bishop Hill was the site of a utopian religious community which operated as a commune. It was founded in 1846 by Swedish pietist Eric Janson and his followers. The community was named Bishop Hill after the parish of Biskopskulla in Uppland, Sweden.
4|Cahokia Mounds|4|Cahokia Mounds|0.45355508|http://4.bp.blogspot.com/-JA2vfvvlnyE/TVqWnSfCEaI/AAAAAAAAElc/P1nPw2xNUzg/s1600/cahokia+1.jpg|https://en.wikipedia.org/wiki/Cahokia|The Cahokia Mounds State Historic Site  (11 MS 2) is the site of a pre-Columbian Native American city (c. 600–1400 CE) directly across the Mississippi River from modern St. Louis, Missouri. This historic park lies in southern Illinois between East St. Louis and Collinsville. The park covers 2,200 acres (890 ha), or about 3.5 square miles (9 km2), and contains about 80 mounds, but the ancient city was much larger. In its heyday, Cahokia covered about 6 square miles (16 km2) and included about 120 manmade earthen mounds in a wide range of sizes, shapes, and functions.	Cahokia was the largest and most influential urban settlement of the Mississippian culture, which developed advanced societies across much of what is now the central and southeastern United States, beginning more than 1000 years before European contact. Today, Cahokia Mounds is considered the largest and most complex archaeological site north of the great pre-Columbian cities in Mexico.	Cahokia Mounds is a National Historic Landmark and a designated site for state protection. It is also one of only 23 UNESCO World Heritage Sites within the United States. The largest prehistoric earthen construction in the Americas north of Mexico, the site is open to the public and administered by the Illinois Historic Preservation Division and supported by the Cahokia Mounds Museum Society.
5|Carson, Pirie, Scott, and Company Store|62|Reliance Building|0.2810055|https://i.pinimg.com/564x/53/62/ca/5362cabb2a45ff7199d63ed2e5836113.jpg|https://en.wikipedia.org/wiki/Carson%27s|Carson's (formerly Carson Pirie Scott and Co.) is an American chain of department stores located primarily in the Midwestern United States, with over 50 stores under the nameplate.	The Carson Pirie Scott name is strongly associated with the historic Carson, Pirie, Scott and Company Building designed by Louis Sullivan, built in 1899 for the retail firm Schlesinger & Mayer, and expanded and sold to Carson Pirie Scott in 1904.
6|James Charnley House|26|John J. Glessner House|0.1328614|http://i.pinimg.com/736x/45/68/10/4568101d104c4bcfe8e660b5f1849413.jpg|https://en.wikipedia.org/wiki/James_Charnley_House|The James Charnley Residence, also known as the Charnley-Persky House, is a historic house museum at 1365 North Astor Street in the Gold Coast neighborhood of Chicago, Illinois. Built in 1892, it is one of the few surviving residential works of Louis Sullivan, and features major contributions by Frank Lloyd Wright, who was then working as a draftsman in Sullivan's office. The house is operated as a museum and organization headquarters by The Society of Architectural Historians (SAH). The house was designated a National Historic Landmark in 1998,  and is listed on the National Register of Historic Places.
7|Chicago Board of Trade Building|7|Chicago Board of Trade Building|0.6881021|http://c8.alamy.com/comp/D2R892/chicago-board-of-trade-building-downtown-chicago-illinois-united-states-D2R892.jpg|https://en.wikipedia.org/wiki/Chicago_Board_of_Trade_Building|The Chicago Board of Trade Building is a skyscraper located in Chicago, Illinois, United States. It stands at 141 W. Jackson Boulevard at the foot of the LaSalle Street canyon, in the Loop community area in Cook County. Built in 1930 and first designated a Chicago Landmark on May 4, 1977, the building was listed as a National Historic Landmark on June 2, 1978. It was added to the National Register of Historic Places on June 16, 1978. Originally built for the Chicago Board of Trade (CBOT), it is now the primary trading venue for the derivatives exchange, the CME Group, formed in 2007 by the merger of the CBOT and the Chicago Mercantile Exchange. In 2012, the CME Group sold the CBOT Building to a consortium of real estate investors, including GlenStar Properties LLC and USAA Real Estate Company.	The 141 W. Jackson address hosted the former tallest building in Chicago designed by William W. Boyington before the current Holabird & Root structure, which held the same title for over 35 years until being surpassed in 1965 by the Richard J. Daley Center. The current structure is known for its art deco architecture, sculptures and large-scale stone carving, as well as large trading floors. An aluminum, three-story art deco statue of Ceres, goddess of agriculture (particularly grain), caps the building. The building is a popular sightseeing attraction and location for shooting movies, and its owners and management have won awards for efforts to preserve the building and for office management.
8|Church of the Holy Family|8|Church of the Holy Family|0.7848597|http://www.illinoisinfocus.com/uploads/5/6/3/9/5639843/6641155_orig.jpg?808|https://en.wikipedia.org/wiki/Church_of_the_Holy_Family_(Cahokia,_Illinois)|"The Church of the Holy Family (French: Eglise de la Sainte-Famille) is a Roman Catholic church located at 116 Church Street in the St. Clair County, Illinois city of Cahokia. Built beginning in 1786, it is a remarkably unaltered example of the French colonial construction style known as ""poteaux-sur-solle"" (post-on-sill), and one of the few such buildings surviving in North America. It was declared a National Historic Landmark and added to the National Register of Historic Places in 1970.[1] The occupying congregation is the oldest continuously active Catholic Parish in the United States, having been founded in 1699 by Canadian missionaries, and the oldest church west of the Allegheny Mountains. At the invitation of Bishop Edward Braxton, the Institute of Christ the King Sovereign Priest continues to offer Mass in this historic church in the Extraordinary Form. Visitors are also welcome for guided tours in the summer."
9|Columbus Park|9|Columbus Park|0.1757837|https://upload.wikimedia.org/wikipedia/commons/d/da/Columbus_Park_Chicago_boathouse_1.JPG|https://en.wikipedia.org/wiki/Columbus_Park_(Chicago)|Columbus Park is a 135-acre (55 ha) park on the far West Side of Chicago, Illinois in the Austin neighborhood. It is considered the finest work by landscape architect Jens Jensen and was consequently named a National Historic Landmark in 2003.
10|Arthur H. Compton House|25|Henry Gerber House|0.0971642|https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/20080909_Arthur_H._Compton_House.JPG/1200px-20080909_Arthur_H._Compton_House.JPG|https://en.wikipedia.org/wiki/Arthur_H._Compton_House|The Arthur H. Compton House is a historic house at 5637 South Woodlawn Avenue in Chicago, Illinois. Built in 1916, it was the residence of physicist Arthur Compton (1892-1962) from the late 1920s until 1945. Compton discovered the Compton Effect in 1923, proving that light has both a particle and a wave aspect. Compton received the Nobel Prize in Physics in 1927 for this discovery. His house was designated a National Historic Landmark in 1976.
11|Avery Coonley House|11|Avery Coonley House|0.74335545|https://i.pinimg.com/736x/67/4f/32/674f3249fcfea662b60ac357724f9543.jpg|https://en.wikipedia.org/wiki/Coonley_House|The Avery Coonley House, also known as the Coonley House or Coonley Estate was designed by architect Frank Lloyd Wright. Constructed 1908-12, this is a residential estate of several buildings built on the banks of the Des Plaines River in Riverside, Illinois, a suburb of Chicago. It is itself a National Historic Landmark and is included in another National Historic Landmark, the Riverside Historic District.
12|Crow Island School|23|Fort De Chartres|0.41224748|https://upload.wikimedia.org/wikipedia/commons/3/3b/Crow_Island_School_%288626471252%29.jpg|https://en.wikipedia.org/wiki/Crow_Island_School|Crow Island School in Winnetka, Illinois, is an elementary school significant for its progressive philosophy and its International Style architecture. The design of its building was a collaboration between the Chicago firm of Perkins, Wheeler and Will and Eero Saarinen. It currently serves kindergarten through fourth grade students. The school was established in 1940-41. The original jungle gym is located here, having been moved from Horace Mann School in 1940. The school was awarded the Twenty-five Year Award by the American Institute of Architects in 1971. It was declared a National Historic Landmark in 1990.
13|Susan Lawrence Dana House|13|Susan Lawrence Dana House|0.53593236|https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Susan_Lawrence_Dana_House_%287167054249%29.jpg/1200px-Susan_Lawrence_Dana_House_%287167054249%29.jpg|https://en.wikipedia.org/wiki/Dana%E2%80%93Thomas_House|The Dana–Thomas House or Susan Lawrence Dana House or Dana House (built 1902–04) is an expression of architect Frank Lloyd Wright's Prairie School. Located along East Lawrence Avenue in Springfield, Illinois, for patron Susan Lawrence Dana, the town house reflects the mutual affection of the patron and the architect for organic architecture, the relatively flat landscape of the U.S. state of Illinois, and the Japanese aesthetic as expressed in Japanese prints.
14|David Davis House|14|David Davis House|0.68427044|https://farm3.staticflickr.com/2481/3752587891_25cf857fa0_z.jpg?zz=1|https://en.wikipedia.org/wiki/David_Davis_Mansion|"The David Davis Mansion, also known as Clover Lawn, is a Victorian home in Bloomington, Illinois that was the residence of David Davis, Supreme Court justice (1862–1877) and Senator from Illinois. The mansion has been a state museum since 1960. It was added to the National Register of Historic Places in 1972 and was designated a National Historic Landmark in 1975.[2]  Set in a residential neighborhood on Bloomington's near-south-side, the three-story yellow brick mansion comprises 36 rooms in an Italianate villa style. The mansion's lot includes an 1872 wood house, a barn and stable, privies, a foaling shed, carriage barn, and a flower and ornamental cutting garden. ""Sarah's Garden"", the Victorian cut flower garden, with original heirloom roses and perennials began restoration in 2001 and is near completion.[3]"
15|Charles G. Dawes House|15|Charles G. Dawes House|0.8521461|https://readtiger.com/img/wkp/en/Dawes_1.JPG|https://en.wikipedia.org/wiki/Charles_G._Dawes_House|The Charles Gates Dawes House is a historic house museum at 225 Greenwood Street in Evanston, Illinois. Built in 1894, this Chateauesque lakefront mansion was from 1909 until his death the home of Charles Gates Dawes (1865-1951) and his family. Dawes earned the 1925 Nobel Peace Prize for his plan to alleviate the crushing burden of war reparations Germany was required to pay after World War I. Dawes served as U.S. Vice President under Calvin Coolidge, a general during World War I, and as United States Ambassador to Great Britain. Dawes was a descendant of William Dawes, who along with Paul Revere, rode to alarm the colonists that the British regulars were coming on the night before the Revolutionary War began. The house, a National Historic Landmark, is now owned by the Evanston History Center (formerly known as the Evanston Historical Society), which offers tours.
16|John Deere Home and Shop|22|John Farson House|0.20204528|https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/John_Deere_Mansion_Moline.JPG/1200px-John_Deere_Mansion_Moline.JPG|https://en.wikipedia.org/wiki/John_Deere_House_and_Shop|The John Deere House and Shop is located in the unincorporated village of Grand Detour, Illinois, near the Lee County city of Dixon. The site is known as the location where the first steel plow was invented by John Deere in 1837. The site includes Deere's house, a replica of his original blacksmith shop, a gift shop, and an archaeological exhibit showing the excavation site of his original blacksmith shop. The Deere House and Shop is listed on the National Register of Historic Places; it joined that list in 1966, the year the Register was established. Prior to that, it was designated a National Historic Landmark on July 19, 1964.
17|Oscar Stanton DePriest House|17|Oscar Stanton DePriest House|0.28828463|https://upload.wikimedia.org/wikipedia/commons/b/bb/Oscar_Stanton_De_Priest.jpg|https://en.wikipedia.org/wiki/Oscar_Stanton_De_Priest|Oscar Stanton De Priest (March 9, 1871 – May 12, 1951) was an American Republican politician and civil rights advocate from Chicago who served as a U.S. Representative from Illinois' 1st congressional district from 1929 to 1935. De Priest was the first African American to be elected to Congress from outside the southern states and the first in the 20th century. During his three terms, he was the only African American serving in Congress.	Born in Alabama to freedmen parents, De Priest was raised in Dayton, Ohio. He studied business and made a fortune in Chicago as a contractor, and in real estate and the stock market before the Crash. In Congress, he spoke out against racial discrimination, including at speaking events in the South; tried to integrate the House public restaurant; gained passage of an amendment to desegregate the Civilian Conservation Corps, one of the work programs under President Franklin D. Roosevelt's New Deal; and introduced anti-lynching legislation to the House (it was not passed because of the Solid South Democratic opposition).
18|Jean Baptiste Point Du Sable Homesite|18|Jean Baptiste Point Du Sable Homesite|0.5571642|http://2.bp.blogspot.com/-HJZyBIb3eNU/VVVjK6PtwYI/AAAAAAAACtM/rBbUa7yclIs/s1600/jean-baptiste.jpg|https://en.wikipedia.org/wiki/Jean_Baptiste_Point_du_Sable|"Jean Baptiste Point du Sable (or Point de Sable, Point au Sable, Point Sable, Pointe DuSable) (before 1750 – August 28, 1818) is regarded as the first permanent resident of what later became Chicago, Illinois, and is recognized as the ""Founder of Chicago"". A school, museum, harbor, park, and bridge have been named in his honor. The site where he settled near the mouth of the Chicago River around the 1780s is identified as a National Historic Landmark, now located in Pioneer Court.	Point du Sable was of African descent but little else is known of his life prior to the 1770s. During his career, the areas where he settled and traded around the Great Lakes and in the Illinois Country changed hands several times among France, Britain, Spain and the new United States. Described as handsome and well educated, Point du Sable married a Native American woman, Kitiwaha, and they had two children. In 1779, during the American Revolutionary War, he was living on the site of present-day Michigan City, Indiana, when he was arrested by the British military on suspicion of being an American sympathizer. In the early 1780s he worked for the British lieutenant-governor of Michilimackinac on an estate at what is now the city of St. Clair, Michigan.	Point du Sable is first recorded as living at the mouth of the Chicago River in a trader's journal of early 1790, having become established there sometime earlier. He established an extensive and prosperous trading settlement in what would become the city of Chicago. He sold his Chicago River property in 1800 and moved to St. Charles, now in Missouri, where he was licensed to run a Missouri River ferry. Point du Sable's successful role in developing the Chicago River settlement was little recognized until the mid-20th century."
19|Eads Bridge|19|Eads Bridge|0.96193975|http://stuffpoint.com/bridges-architectural-wonders-around-the-world/image/388272-bridges-architectural-wonders-around-the-world-eads-bridge-saint-louis-illinois.jpg|https://en.wikipedia.org/wiki/Eads_Bridge|"The Eads Bridge is a steel combined road and railway bridge over the Mississippi River connecting the cities of St. Louis, Missouri and East St. Louis, Illinois. It was envisioned and financed by a young Andrew Carnegie. Opened in 1874, it was one of the earliest long bridges built across the Mississippi, the world's first all steel construction, and built high enough so steamboats could travel underneath. As such, the St. Louis Landmark is listed on the National Register of Historic Places as a National Historic Landmark. As of April 2014, it carries about 8,100 vehicles daily, down 3,000 since the new Stan Musial Veterans Memorial Bridge opened in February 2014.	The bridge is named for its designer and builder, James B. Eads. When completed in 1874, the Eads Bridge was the longest arch bridge in the world, with an overall length of 6,442 feet (1,964 m). The ribbed steel arch spans were considered daring, as was the use of steel as a primary structural material. This was the first such use of true steel in a major bridge. The cost of building the bridge was nearly $10 million ($220 million with inflation).	The Eads Bridge was also the first bridge to be built using cantilever support methods exclusively, and one of the first to make use of pneumatic caissons. The Eads Bridge caissons, still among the deepest ever sunk, were responsible for one of the first major outbreaks of ""caisson disease"" (also known as ""the bends"" or decompression sickness). Fifteen workers died, two other workers were permanently disabled, and 77 were severely afflicted.	On June 14, 1874, John Robinson led a ""test elephant"" on a stroll across the new Eads Bridge to prove that it was safe. A big crowd cheered as the elephant from a traveling circus lumbered towards Illinois. It was believed that elephants had instincts that kept them from setting foot on unsafe structures. Two weeks later, Eads sent 14 locomotives back and forth across the bridge at one time. The opening day celebration on July 4, 1874, featured a parade that stretched for 15 miles (24 km) through the streets of St. Louis.	The Eads Bridge, which became an iconic image of the city of St. Louis, from the time of its erection until 1965 when the Gateway Arch was constructed, is still in use. The bridge crosses the St. Louis riverfront between Laclede's Landing, to the north, and the grounds of the Gateway Arch, to the south. Today the road deck has been restored, allowing vehicular and pedestrian traffic to cross the river. The St. Louis MetroLink light rail system has used the rail deck since 1993."
20|Farm Creek Section|20|Farm Creek Section|0.27387464|https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Farm_Creek_Section_series_2_b.jpg/600px-Farm_Creek_Section_series_2_b.jpg|https://en.wikipedia.org/wiki/Farm_Creek_Section|The Farm Creek Section, also known as the Farmdale Geologic Exposure, is a hillside near East Peoria, Illinois that clearly showed geological strata. It is nationally significant as one of the first exposed glacial stratifications in the United States to be scientifically documented. These Ice Age geological formations, with rock layers representing different periods of glaciation, had long been known and published in England, France, and Germany, but were not yet well known in North America. Geologist Frank Leverett discovered this exposed face of a hill with its clearly defined stratifications in 1879 and described and pictured it in his monograph, The Illinois Glacial Lobe, in 1899.	The Farm Creek publication gave a name to the Illinoian glaciation, the southernmost penetration of glacial ice into what was to become the Midwestern United States. It also helped formulate regional and national stratigraphic classifications and has figured prominently in the study and development of glacial geology.	A 15-acre (6.1 ha) area of the Farm Creek Section was declared a National Historic Landmark in 1997.	The site is on the south side of Farm Creek (a tributary of the Illinois River) in the Farm Creek Recreation Area, south of Illinois Route 8 (Washington St.) and between School Street and Bittersweet Road, and is accessible by following an unpaved road, part of which is an abandoned right of way formerly in use by the Toledo, Peoria and Western Railroad. The formation is largely covered by a modern soil layer. Some erosion has occurred in the time since its initial discovery, but the layers of strata are still readily discernible.
21|Farnsworth House|21|Farnsworth House|0.91174865|https://farm1.staticflickr.com/75/172418907_1df156fe11_o.jpg|https://en.wikipedia.org/wiki/Farnsworth_House|The Farnsworth House was designed and constructed by Ludwig Mies van der Rohe between 1945 and 1951. It is a one-room weekend retreat in a once-rural setting, located 55 miles (89 km) southwest of Chicago's downtown on a 60-acre (24 ha) estate site, adjoining the Fox River, south of the city of Plano, Illinois. The steel and glass house was commissioned by Dr. Edith Farnsworth, a prominent Chicago nephrologist, as a place where she could engage in her hobbies — playing the violin, translating poetry, and enjoying nature. Mies created a 1,500-square-foot (140 m2) house that is widely recognized as an iconic masterpiece of International Style of architecture. The home was designated a National Historic Landmark in 2006, after joining the National Register of Historic Places in 2004. The house is currently owned and operated as a historic house museum by the historic preservation group, National Trust for Historic Preservation.
22|John Farson House|22|John Farson House|0.1356799|https://farm4.staticflickr.com/3163/3911141770_f727e12697_z.jpg?zz=1|https://en.wikipedia.org/wiki/Pleasant_Home|Pleasant Home, also known as the John Farson House, is a historic home located in the Chicago suburb of Oak Park, Illinois, United States. The large, Prairie style mansion was designed by architect George Washington Maher and completed in 1897. The house was added to the U.S. National Register of Historic Places on June 19, 1972. Exactly 24 years later, in 1996, it was declared a National Historic Landmark by the United States Department of the Interior.
23|Fort De Chartres|23|Fort De Chartres|0.84182066|http://static.panoramio.com/photos/large/12443703.jpg|https://en.wikipedia.org/wiki/Fort_de_Chartres|Fort de Chartres was a French fortification first built in 1720 on the east bank of the Mississippi River in present-day Illinois, it was used as an administrative center for the province. Due generally to river floods, the fort was rebuilt twice, the last time in limestone in the 1750s in the era of French colonial control over Louisiana and the Illinois Country.	A partial reconstruction of the third and last fort, which was built of local limestone shortly before the end of French rule in the Midwest. The site is now preserved as an Illinois state park and is four miles (6 km) west of Prairie du Rocher in Randolph County, Illinois. It is south of St. Louis, Missouri in the floodplain area that became known as the American Bottom. The site and its associated buildings were placed on the National Register of Historic Places and recognized as a National Historic Landmark on October 15, 1966, and it was named one of the contributing properties to the new French Colonial Historic District in 1974, along with other area French-influenced sites such as the Creole House, the Pierre Menard House, the Kolmer Site (a former Indian village), and the site of Fort Kaskaskia.	The name of the fort honored Louis, duc de Chartres, son of the Regent of France. The fort's stone magazine, which survived the gradual ruin that overtook the rest of the site, is considered the oldest building in the state of Illinois. The state historic site today hosts several large re-enactments at the fort of colonial-era civil and military life each summer.
24|Fort Sheridan Historic District|24|Fort Sheridan Historic District|0.5467112|https://s3.amazonaws.com/gs-waymarking-images/cf60ac1c-077d-4134-aef6-d387384a3625_d.jpg|https://en.wikipedia.org/wiki/Sheridan_Reserve_Center|The Philip H. Sheridan Reserve Center is the former Fort Sheridan now in Lake Forest, Highwood, and Highland Park in Lake County, Illinois, United States. It was originally established as a United States Army Post named after Civil War Cavalry General Philip Sheridan, to honor his services to Chicago. When the main fort was officially closed by the Army on May 3, 1993, the majority of the property was sold by the Department of Defense to commercial land developers. Most of the original housing structures were then refurbished and resold as a residential community. Other buildings were given to cultural organizations like Midwest Young Artists, the largest youth music program in the Midwest. Approximately 90 acres of the southern end of the original post were retained by the Army; there the Army now operates the Sheridan Reserve Center complex.
25|Henry Gerber House|15|Charles G. Dawes House|0.17462161|https://upload.wikimedia.org/wikipedia/commons/b/b4/Henry_Gerber_House%2C_Chicago%2C_IL.jpg|https://en.wikipedia.org/wiki/Henry_Gerber_House|The Henry Gerber House is located on North Crilly Court in the Old Town neighborhood of Chicago, Illinois, United States. It is a single-family brick row house built in 1885 in the Queen Anne style, mostly intact from that time. In the 1920s it housed the apartment occupied by German-born Henry Gerber, founder of the short-lived Society for Human Rights, which was incorporated in Illinois as the first American organization working for gay rights. Inspired by nascent gay-rights organizations he had seen in Germany, Gerber held meetings here and published newsletters, the first known gay civil rights periodicals in the country, for a year until the Chicago police raided the house in 1925.	The Gerber House was recognized as a contributing property to the Old Town Triangle Chicago Landmark District when that was established by the city in 1977, and then when it was listed as a historic district on the National Register of Historic Places in 1984. The building was designated a Chicago Landmark in 2001. In June 2015 it was named a National Historic Landmark.
26|John J. Glessner House|26|John J. Glessner House|0.8855397|http://2.bp.blogspot.com/-bpAV3sfanlg/UEs221jtT1I/AAAAAAAAAdw/ccE1tsvW7k8/s1600/John-J-Glessner-House_cd21f70fcd14a3bd49327abdbfa7b4eac97fb5bd.jpg|https://en.wikipedia.org/wiki/John_J._Glessner_House|The John J. Glessner House, operated as the Glessner House Museum, is an architecturally important 19th-century residence located at 1800 S. Prairie Avenue, Chicago, Illinois. It was designed in 1885–1886 by architect Henry Hobson Richardson and completed in late 1887. The property was designated a Chicago Landmark on October 14, 1970. The site was listed in the National Register of Historic Places on April 17, 1970, and as a National Historic Landmark on January 7, 1976.		
27|Ulysses S. Grant Home|27|Ulysses S. Grant Home|0.68228287|https://media-cdn.tripadvisor.com/media/photo-s/01/1f/2d/a3/galena.jpg|https://en.wikipedia.org/wiki/Ulysses_S._Grant_Home|The Ulysses S. Grant Home in Galena, Illinois is the former home of Ulysses S. Grant, the Civil War general and later 18th President of the United States. The home was designed by William Dennison and constructed in 1859 - 1860. The home was given to Grant by residents of Galena in 1865 as thanks for his war service, and has been maintained as a memorial to Grant since 1904.
28|Grosse Point Lighthouse||||http://r.search.yahoo.com/_ylt=AwrB8qG7_pJaFScAli.jzbkF;_ylu=X3oDMTBpcGszamw0BHNlYwNmcC1pbWcEc2xrA2ltZw--/RV=2/RE=1519611707/RO=11/RU=http%3a%2f%2fmedia-cache-ec0.pinimg.com%2f736x%2fe0%2fda%2f5e%2fe0da5efbd485ec5848f49b40b9200a90.jpg/RK=2/RS=GtARC4YkfiugrPY003k6yHhYAvg-|https://en.wikipedia.org/wiki/Grosse_Point_Light|The historic Grosse Point Light is located in Evanston, Illinois. Following several shipping disasters near Evanston, residents successfully lobbied the federal government for a lighthouse. Construction was completed in 1873. The lighthouse was added to the National Register of Historic Places on September 8, 1976. On 20 January 1999, the lighthouse was designated a National Historic Landmark. It is maintained under the jurisdiction of the Evanston Lighthouse Park District, an independent taxing authority.		
